Q&A,INPUT TYPE,REQ?,CODE,EN,EL,PL,IT,ES,DE,PT,NL,FR,RO
,Radio button,YES,q1,Sex,Φύλο,Płeć,Sesso,Sexo,Sex,Sexo,Geslacht,Sexe,Sex
,,,q1_a1,Male,Άνδρας,Mężczyzna,Maschio,Masculino,Männlich,Masculino,Man,Homme,masculin
,,,q1_a2,Female,Γυναίκα,Kobieta,Femmina,Femenino,Weiblich,Feminino,Vrouw,Femme,feminin
,Select (+Other),YES,q2,Profession,Επάγγελμα,Zawód,Professione,Profesión,Beruf,Profissão,Beroep,Profession,Profesie
,,,q2_a1,Paediatrician,Παιδίατρος,Lekarz pediatra,Pediatra,Pediatra,Kinderarzt,Pediatra,Kinderarts,Pédiatre,Medic Pediatru
,,,q2_a2,Dietitian,Διαιτολόγος,Dietetyk,Dietista,Nutriólogo,Ernährungsberater,Nutricionista,Diétist,Diététicien(ne),Dietolog - dietetician
,,,q2_a3,Allergist,Αλλεργιολόγος,Lekarz alergolog,Allergologo,Alergologo,Allergologe,Imunoalergologista,Allergoloog,Allergologue,Medic Alergolog
,,,q2_a4,Nurse,Νοσηλευτής/νοσηλεύτρια,Pielęgniarka/Pielęgniarz,Infermiera,Enfermero,Krankenschwester,Enfermeiro,Verpleegkundige,Infirmier(ère),Asistent Medical
,,,q2_aother,Other,Άλλο,Inny,Altro,Otro,Andere,Outro,Anders,Autre,Alta
,,,q2_aother_placeh,Please specify,Παρακαλώ διευκρινίστε,Proszę sprecyzuj,Per favore specificare,Por favor especifica,Bitte angeben,Por favor especifique,namelijk ,Veuillez préciser,"Va rog, precizati"
,Number (Years),YES,q3,Age (years),Ηλικία (έτη),Wiek (lata),Età (anni),Años de edad),Alter Jahre),Idade,leeftijd (in jaren),Âge (années),Varsta
,Number (Years),YES,q4,Years of practice within your specialty,Έτη εργασίας στην ειδικότητά σας,Lata praktyki w Pani/Pana specjalizacji,Anni di pratica nella tua specialità,Años de práctica dentro de su especialidad,Jahrelange Praxis in Ihrem Fachgebiet,Anos de prática dentro da sua especialidade,Aantal jaren werkzaam in uw speciaisme,Années de pratique dans votre spécialité,Ani de practicare a profesiei
,Radio Button (Yes/No),YES,q5,Do you have additional education in allergy?,Έχετε επιπλέον εκπαίδευση στην αλλεργιολογία?,Czy posiada Pani/Pan dodatkowe wykształcenie z zakresu alergologii?,Hai un'istruzione aggiuntiva in allergologia?,¿Tiene educación adicional en alergia?,Verfügen Sie über eine Zusatzausbildung zum Thema Allergie?,Tem formação adicional na área da alergia alimentar?,Heeft u aanvullende opleiding genoten over allergie?,Avez-vous une formation supplémentaire en allergie ?,Aveti o pregatire suplimentara in domeniul alergologiei?
,Select/Other,,q5a,Please specify,Παρακαλώ διευκρινίστε,Proszę sprecyzuj,Per favore specificare,Por favor especifica,Bitte angeben,Por favor especifique,namelijk ,Veuillez préciser,Va rog specificati
,,,q5a_a1,Online Course,Διαδικτυακό μάθημα,Kurs online,Corso online,Curso por Internet,Online Kurs,Curso online,Online cursus,Cours en ligne,cursuri on line
,,,q5a_a2,University Course,Πανεπιστημιακό μάθημα,Kurs uniwersytecki,Corso universitario,Curso universitario,Universitätslehrgang,Curso universitário ,Cursus aan de Universiteit,Cours universitaire,curs universitar
,,,q5a_a3,MSc,MSc,stopień naukowy magistra / magistra inżyniera (MSc) ,MSc,maestría,MSc,Mestrado,MSc,MSc (Master of Science),master
,,,q5a_a4,PhD,PhD,stopień naukowy doktora (PhD),dottorato di ricerca,Doctor,Doktortitel,Doutoramento,PhD,PhD (Doctorat),doctorat
,,,q5a_a5,Conference attendance,Παρακολούθηση συνεδρίου,Udział w konferencjach,Partecipazione alla conferenza,Asistencias a conferencias,Teilnahme an der Konferenz,Presença em conferência,Bijwonen van nascholingen en congressen,Participation à des conférences,participare la conferinte si congrese
,,,q5a_aother,Other,Αλλα,Inny,Altro,Otro,Andere,Outro,anders,Autre,alt mod
,,,q5a_aother_placeh,Please specify,Παρακαλώ διευκρινίστε,Proszę sprecyzuj,Per favore specificare,Por favor especifica,Bitte angeben,Por favor especifique,namelijk ,Veuillez préciser,va rog specificati
,Text,YES,q6,Country of work,Χώρα εργασίας,Kraj pracy,Paese di lavoro,pais de trabajo,Land der Arbeit,País de trabalho,Land waar u werkzaam bent,Pays de travail,Tara in care practicati profesia
,Number (Months),YES,q7,At what age do you advise the introduction of complementary food for an infant,Σε ποια ηλικία συμβουλεύετε την εισαγωγή συμπληρωματικής τροφής για ένα βρέφος,W którym miesiącu życia zaleca Pani/Pan wprowadzanie pokarmów uzupełniających do diety niemowląt?,Quando di solito introduci l'alimentazione complementare in un lattante? ,¿A qué edad aconseja la introducción de alimentos complementarios para un lactante?,Ab welchem Alter empfehlen Sie die Einführung von Beikost für einen Säugling?,A partir de que idade aconselha a introdução de alimentação complementar ao lactente,Op welke leeftijd adviseert u de ouders van een zuigeling te starten met vaste voeding?,À quel âge conseillez-vous l'introduction d'aliments complémentaires pour un nourrisson ?,La ce varsta recomandati diverificarea alimentatiei / introducerea alimentelor solide la sugari?
,Number (Months),YES,q7a,Breast-fed infant:,Βρέφος που θηλάζει:,Niemowlęta karmione piersią:,Neonato allattato al seno:,Bebé amamantado:,Gestillter Säugling:,Lactente amamentado:,Borstgevoede zuigeling,Nourrisson allaité au sein :,La sugarul alimentat la san
,Number (Months),YES,q7b,Formula-fed/mixed feed infant:,Βρέφος με φόρμουλα/μεικτές τροφές μικτή διατροφή:,Niemowlęta karmione mlekiem modyfikowanym / niemowlęta karmione w sposób mieszany:,Neonato alimentato con formula lattea / alimentazione mista:,Bebé alimentado con fórmula/alimentos mixtos:,"Säuglinge, die mit Säuglingsnahrung/Mischnahrung ernährt werden:",Lactente alimentado com fórmula/alimentação mista:,Flesgevoede zuigeling,Nourrisson nourri au biberon/nourrisson nourri au sein mixte :,La sugarul alimentat cu lapte praf sau mixt (san si lapte praf)
,Number (Months),YES,q7c,At increased risk to develop food allergy,Που διατρεχει αυξημένο κίνδυνο να αναπτύξει τροφική αλλεργία¨,Niemowlęta z podwyższonym ryzykiem wystąpienia alergii pokarmowej,A maggior rischio di sviluppare allergie alimentari,En mayor riesgo de desarrollar alergia alimentaria.,"Es besteht ein erhöhtes Risiko, eine Nahrungsmittelallergie zu entwickeln",Lactente com risco aumentado de desenvolver alergia alimentar,met verhoogd risico op het ontwikkelen van voedselallergie,À risque accru de développer une allergie alimentaire,La sugarul cu risc crescut de a dezvolta alergii
,Checkboxes (multiple),YES,q8,When do you consider an infant at 'increased risk to develop food allergy'? (multiple choices possible),Πότε θεωρείτε ότι ένα βρέφος διατρέχει «αυξημένο κίνδυνο να αναπτύξει τροφική αλλεργία»; (πολλές επιλογές είναι δυνατές),"Które czynniki według Pani/Pana sprawiają, że niemowlę znajduje się w grupie podwyższonego ryzyka wystąpienia alergii pokarmowej? (możliwe wiele wyborów)",Quali condizioni consideri 'a maggior rischio di sviluppare allergia alimentare'? (possibili scelte multiple),¿Cuándo considera que un bebé tiene 'mayor riesgo de desarrollar alergia alimentaria'? (múltiples opciones posibles),"Ab wann besteht bei einem Säugling ein „erhöhtes Risiko, eine Nahrungsmittelallergie zu entwickeln“? (Mehrfachauswahl möglich)",Em que situações considera uma criança como tendo 'risco aumentado de desenvolver alergia alimentar'? (múltiplas escolhas possíveis),"Wanneer heeft een kind een ""verhoogd risico op het ontwikkelen van voedselallergie?""  (meerder antwoorden mogelijk)",Quand considérez-vous qu'un nourrisson est à 'risque accru de développer une allergie alimentaire' ? (plusieurs choix possibles),Când considerați că un sugar are „risc crescut de a dezvolta o alergie alimentară”? (sunt posibile mai multe opțiuni)
,,,q8_a1,Coexisting eczema ,Συνυπάρχον έκζεμα,Współistniejący wyprysk / atopowe zapalenie skóry,Eczema (comorbidità),eccema coexistente,Begleitendes Ekzem,Eczema coexistente,aanwezigheid van eczeem,Présence d'eczéma concomitant,Coexistenta unei eczeme (dermatitei atopice)
,,,q8_a2,Recurrent Bronchiolitis/wheeze,Υποτροπιάζουσα βρογχιολίτιδα/συριγμός,Nawracające zapalenia oskrzeli / oskrzelików / świsty,bronchiolite ricorrente,bronquiolitis recurrente/silbido,wiederkehrende Bronchiolitis/ keuchen,Bronquiolite recorrente/ jadear,terugkerende luchtweginfecties/ piepen,Bronchiolite récurrente/ respiration sifflante,Bronsiolite recidivante/ suierat
