,CODE,note/location,EN,EL,PL,IT,ES,DE,PT,NL,FR,RO,TC,,,,,,,,
,starch,FOOD GROUP,STARCH/GLUTEN,ΔΗΜΗΤΡΙΑΚΑ/ΣΙΤΗΡΑ,SKROBIA/GLUTEN,AMIDO/GLUTINE,ALMIDÓN/GLUTEN,STÄRKE/GLUTEN,AMIDO/GLÚTEN,ZETMEEL/GLUTEN,AMIDON/GLUTEN,CEREALE / GLUTEN,澱粉質/麩質,,,,,,,,
,veg,FOOD GROUP,VEGETABLES,ΛΑΧΑΝΙΚΑ,WARZYWA,VERDURE,VERDURAS,GEMÜSE,HORTÍCOLAS,GROENTE,LÉGUMES,VEGETALE,蔬菜類,,,,,,,,
,legume,FOOD GROUP,LEGUMES,ΟΣΠΡΙΑ,STRĄCZKI,LEGUMI,LEGUMBRES,Hülsenfrüchte,LEGUMINOSAS,PEULVRUCHTEN,LÉGUMINEUSES,LEGUME,豆類,,,,,,,,
,meat,FOOD GROUP,MEAT,ΚΡΕΑΣ,MIĘSO,CARNE,CARNE,FLEISCH,CARNE,VLEES/KIP/GEVOGELTE,VIANDE,CARNE,肉類,,,,,,,,
,fish,FOOD GROUP,FISH/SHELLFISH,ΨΑΡΙ/ΘΑΛΑΣΣΙΝΑ,RYBY/OWOCE MORZA,PESCE/CROSTACEI,PESCADOS/MARISCOS,FISCH/SCHALENTIER,PEIXE/MARISCO,VIS/SCHAAL- EN SCHELPDIEREN,POISSON/FRUITS DE MER,PESTE /FRUCTE DE MARE,魚類/甲殼類海鮮,,,,,,,,
,fruit,FOOD GROUP,FRUIT,ΦΡΟΥΤΑ,OWOCE,FRUTTA,FRUTA,FRUCHT,FRUTA,FRUIT,FRUITS,FRUCTE,水果類,,,,,,,,
,dairy,FOOD GROUP,DAIRY PRODUCTS / SUBSTITUTES,ΓΑΛΑΚΤΟΚΟΜΙΚΑ/ ΥΠΟΚΑΤΑΣΤΑΤΑ ΓΑΛΑΚΤΟΚΟΜΙΚΩΝ,PRODUKTY MLECZNE/PRODUKTY ZASTĘPUJĄCE PRODUKTY MLECZNE,PRODOTTI LATTIERO-CASEARI/ SOSTITUTI DEI PRODOTTI LATTIERO-CASEARI,PRODUCTOS LÁCTEOS/ SUSTITUTOS DE PRODUCTOS LÁCTEOS,MILCHPRODUKTE/ MILCHERSATZPRODUKTE,PRODUTOS LÁCTEOS/ SUBSTITUTOS DE PRODUTOS LÁCTEOS,ZUIVELPRODUCTEN/VERVANGERS VOOR ZUIVELPRODUCTEN,PRODUITS LAITIERS/SUBSTITUTS DE PRODUITS LAITIERS,PRODUSE LACTATE/SUSTINUTE PENTRU PRODUSE LACTATE,乳製品/替代品,,,,,,,,乳製品/替代品
,egg,FOOD GROUP,EGG,ΑΥΓΑ,JAJKO,UOVO,HUEVO,EI,OVO,EI,ŒUF,OUA DE GAINA,蛋類,,,,,,,,
,fat,FOOD GROUP,FAT/OIL,ΛΙΠΗ,TŁUSZCZ/OLEJ,GRASSO/OLIO,GRASA/ACEITE,FETT/ÖL,GORDURA/ÓLEO,SMEER- EN BEREIDINGSVETTEN/OLIESOORTEN,GRAISSE/HUILE,ULEI,脂肪/食油,,,,,,,,
,sweets,FOOD GROUP,SWEETS,"ΖΑΧΑΡΗ, ΓΛΥΚΑΝΤΙΚΑ, ΜΕΛΙ",SŁODYCZE,DOLCI,DULCES,SÜSSIGKEITEN,DOCES,ZOETIGHEID,SUCRERIES,ZAHAROASE / INDULCITORI/ MIERE,糖類,,,,,,,,
